,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,PCR_batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,kBET,iLISI,cLISI,hvg_overlap,trajectory
/human_pancreas/original/metrics/unscaled/hvg/combat_full,0.9032161118446548,0.9429146610531892,0.6083089634776115,0.8776412083937944,0.9999721265522804,0.5206496421849073,0.1029411764705882,0.6591390520334244,0.9849481294342228,0.2924210350869524,0.1097481117452688,0.9997907242482847,,
/tcells_atlas/original/metrics/unscaled/hvg/combat_full,0.5157132306790817,0.474029622781601,0.512736864387989,0.910765487784484,0.999926810677264,0.680102236105897,0.7032345903485138,0.5247057471424341,0.9675527542072986,0.1536453686332053,0.0916715981677539,0.9348764729338948,,
/lung_atlas/original/metrics/unscaled/hvg/combat_full,0.7334607074615699,0.5712375246644723,0.572843074798584,0.8858758577583128,0.9999730513910288,0.77644195004935,0.7180385288966725,0.6656224280595779,0.970788343460906,0.2602669739355885,0.068428831699606,0.995570061196182,,
/immune_cell_hum/original/metrics/unscaled/hvg/combat_full,0.7376836037075609,0.6092667010452042,0.5699076876044273,0.8339705468331986,0.9999954179816448,0.7626971985833622,0.7482784913228766,0.5847315220453311,0.9647690938806674,0.0309648567677318,0.0962518340695223,0.9978514824690152,,0.8520127428314632
/human_pancreas/original/metrics/scaled/hvg/combat_full,0.9051036630549296,0.937395147549535,0.6328868716955185,0.8469758057479911,0.9999999999521164,0.6431952617356728,0.128440366972477,0.7609945237636566,0.9856345301801106,0.33073945401748,0.1008807393377174,1.0,,
/tcells_atlas/original/metrics/scaled/hvg/combat_full,0.5073819663123877,0.425688044204363,0.5173009652644396,0.9011261047436206,1.0,0.7352829356550269,0.7102917071831908,0.5229354922970136,0.976672746425066,0.1620308950544275,0.0690665933003562,0.950585579228727,,
/lung_atlas/original/metrics/scaled/hvg/combat_full,0.7157758034146021,0.4646684590683921,0.5789352282881737,0.8597256475660761,1.0,0.7047500483133462,0.719298245614035,0.7057282775640488,0.9730689340500204,0.255347728056131,0.0682745240269063,0.9966212303591436,,
/immune_cell_hum/original/metrics/scaled/hvg/combat_full,0.7424296039958248,0.6494531587841417,0.5788187682628632,0.8381452432839093,1.0,0.6598091018516403,0.7681636114808681,0.6159241395071149,0.9387424445649856,0.0468982041967651,0.1010972610523428,0.9987007684766088,,0.8386169950331264
/human_pancreas/original/metrics/unscaled/hvg/scanorama_embed,0.921448291759112,0.9534752868540736,0.6546864837377784,0.8842530998667376,0.7817091733367668,0.5113219294023956,0.1076923076923076,0.6253963381430797,0.981741460562468,0.40647342618238,0.1317302653579538,1.0,,
/tcells_atlas/original/metrics/unscaled/hvg/scanorama_embed,0.6973940203975244,0.7087025751368021,0.5493473846948551,0.9270945661485724,0.5683169407936985,0.7335547668909642,0.8504392085784094,0.5908317525099381,0.9871321587271236,0.2962936269850651,0.0780245987364555,0.9782632535221852,,
/lung_atlas/original/metrics/unscaled/hvg/scanorama_embed,0.728060512826912,0.4833160005040408,0.5764776184138607,0.8955986690688922,0.3486123044189527,0.6867071132271787,0.7349505840071878,0.6739759573196895,0.8748735298390795,0.2823542743795714,0.0756104728241912,0.9983159156261344,,
/immune_cell_hum/original/metrics/unscaled/hvg/scanorama_embed,0.7831536278113229,0.6216657027109623,0.6032439346909033,0.866512424728189,0.8399437838454882,0.8275514465977676,0.7875376376656523,0.6217105111619479,0.9053863852467264,0.1721576062078108,0.1807540255274146,0.9978440517701656,,0.8645761693947905
/human_pancreas/original/metrics/scaled/hvg/scanorama_embed,0.9134157914877332,0.9485478058552056,0.6235277631339254,0.8728812100426145,0.9456699322629116,0.6744717181752059,0.1111111111111111,0.7882143774786106,0.9873317930251088,0.4242858527351747,0.2923556881510085,1.0,,
/tcells_atlas/original/metrics/scaled/hvg/scanorama_embed,0.5529395871243299,0.5611642140205592,0.520072607599179,0.9257676776507175,0.9508524204139108,0.5270901061027572,0.6030556424678238,0.5260520584890643,0.9719205846974855,0.2686723846372139,0.153323725487602,0.9449506710305848,,
