,metrics,AUC,AUC_scaled
0,scaled/hvg/STACAS,15.64709592759301,0.6310968354741462
1,scaled/hvg/combat,8.170638153062024,0.8073652590353917
2,scaled/hvg/fastmnn,10.606764364393731,0.7499300216786733
3,scaled/hvg/harmony,10.68011330196298,0.7482007132300564
4,scaled/hvg/scanorama,13.371382446076861,0.6847501081817673
5,scaled/hvg/scgen,15.169031481353144,0.6423679037849236
6,scaled/hvg/semiSupSTACAS,15.381890828457568,0.6373494334496549
7,scaled/hvg/seurat,16.64994625673247,0.6074531726706901
8,scaled/hvg/seuratrpca,15.359873964056769,0.6378685132193436
9,unscaled/hvg/STACAS,13.330152759673766,0.6857221583217354
10,unscaled/hvg/combat,6.552449594817986,0.8455164202922898
11,unscaled/hvg/fastmnn,9.616309760004318,0.77328143714703
12,unscaled/hvg/harmony,9.683767809838194,0.7716910149899974
13,unscaled/hvg/scanorama,12.454949859498665,0.7063563463506743
14,unscaled/hvg/scanvi,17.47572283221115,0.587984282514006
15,unscaled/hvg/scgen,15.165140421925788,0.6424596412001444
16,unscaled/hvg/scvi,17.314593948357388,0.5917831315416617
17,unscaled/hvg/semiSupSTACAS,13.869037304943692,0.6730171672496489
18,unscaled/hvg/seurat,16.02146921807957,0.6222704377698348
19,unscaled/hvg/seuratrpca,13.463724936947429,0.6825729989430952
