,metrics,AUC,AUC_scaled
0,scaled/hvg/STACAS,15.540946676278322,0.6335994592775183
1,scaled/hvg/combat,8.865020828435002,0.7909941721881963
2,scaled/hvg/fastmnn,10.68208436680222,0.7481542424945253
3,scaled/hvg/harmony,10.815004224533654,0.7450204625028668
4,scaled/hvg/scanorama,12.707316354093107,0.7004064372488832
5,scaled/hvg/scgen,16.695484932729034,0.6063795318007683
6,scaled/hvg/semiSupSTACAS,15.376728352877977,0.6374711463596359
7,scaled/hvg/seurat,16.74965877292168,0.6051023043092221
8,scaled/hvg/seuratrpca,15.380009011375368,0.6373938000388223
9,unscaled/hvg/STACAS,13.915121546547631,0.6719306638728473
10,unscaled/hvg/combat,8.865142572094419,0.790991301903421
11,unscaled/hvg/fastmnn,9.949464546706164,0.7654268259361079
12,unscaled/hvg/harmony,9.689739987339028,0.7715502121733365
13,unscaled/hvg/scanorama,12.487026105457808,0.7056001019526599
14,unscaled/hvg/scanvi,18.553560019897468,0.5625726948800384
15,unscaled/hvg/scgen,16.65073720486362,0.6074345249120321
16,unscaled/hvg/scvi,18.29075647471218,0.5687686727097965
17,unscaled/hvg/semiSupSTACAS,13.97875746948554,0.6704303539458198
18,unscaled/hvg/seurat,15.873940298673185,0.6257486477507758
19,unscaled/hvg/seuratrpca,13.518207983993682,0.6812884814478756
