,CiLISI,CiLISI_means
/human_pancreas/percentShuffling_10/metrics/unscaled/hvg/R/scanvi_embed,0.255717000485118,0.36694024814621
/human_pancreas/percentShuffling_20/metrics/unscaled/hvg/R/scanvi_embed,0.255635053473889,0.366942448584131
/human_pancreas/percentShuffling_50/metrics/unscaled/hvg/R/scanvi_embed,0.256234383428609,0.366743826388646
/human_pancreas/percentShuffling_100/metrics/unscaled/hvg/R/scanvi_embed,0.256509099808782,0.367561760517472
/human_pancreas/unknown_10/metrics/unscaled/hvg/R/scanvi_embed,0.253924277280466,0.368684876434447
/human_pancreas/unknown_20/metrics/unscaled/hvg/R/scanvi_embed,0.25701105042732,0.367188376206778
/human_pancreas/unknown_50/metrics/unscaled/hvg/R/scanvi_embed,0.256724662630858,0.368857197216715
/human_pancreas/unknown_100/metrics/unscaled/hvg/R/scanvi_embed,0.255949192722666,0.368013291738069
/human_pancreas/broad/metrics/unscaled/hvg/R/scanvi_embed,0.254343221334909,0.366282629346982
/tcells_atlas/percentShuffling_10/metrics/unscaled/hvg/R/scanvi_embed,0.142885668207079,0.137101734614965
/tcells_atlas/percentShuffling_20/metrics/unscaled/hvg/R/scanvi_embed,0.143034773813997,0.136818670289377
/tcells_atlas/percentShuffling_50/metrics/unscaled/hvg/R/scanvi_embed,0.142228988244796,0.137674671334244
/tcells_atlas/percentShuffling_100/metrics/unscaled/hvg/R/scanvi_embed,0.143061772795433,0.139730420108889
/tcells_atlas/unknown_10/metrics/unscaled/hvg/R/scanvi_embed,0.143750727942221,0.136173602083288
/tcells_atlas/unknown_20/metrics/unscaled/hvg/R/scanvi_embed,0.141905371734878,0.135867958481463
/tcells_atlas/unknown_50/metrics/unscaled/hvg/R/scanvi_embed,0.142690062463019,0.136490730459662
/tcells_atlas/unknown_100/metrics/unscaled/hvg/R/scanvi_embed,0.144587829787914,0.140508706802324
/tcells_atlas/broad/metrics/unscaled/hvg/R/scanvi_embed,0.145626011677763,0.140890807383383
/lung_atlas/percentShuffling_10/metrics/unscaled/hvg/R/scanvi_embed,0.168412596899258,0.187106377486356
/lung_atlas/percentShuffling_20/metrics/unscaled/hvg/R/scanvi_embed,0.165504919094706,0.180149134455448
/lung_atlas/percentShuffling_50/metrics/unscaled/hvg/R/scanvi_embed,0.173774818958535,0.190488865874014
/lung_atlas/percentShuffling_100/metrics/unscaled/hvg/R/scanvi_embed,0.172713241856175,0.190147383778739
/lung_atlas/unknown_10/metrics/unscaled/hvg/R/scanvi_embed,0.165431386326995,0.180942830073226
/lung_atlas/unknown_20/metrics/unscaled/hvg/R/scanvi_embed,0.166592009090537,0.181184382843215
/lung_atlas/unknown_50/metrics/unscaled/hvg/R/scanvi_embed,0.168686487948162,0.182548656172536
/lung_atlas/unknown_100/metrics/unscaled/hvg/R/scanvi_embed,0.174709049732509,0.192451823541366
/lung_atlas/broad/metrics/unscaled/hvg/R/scanvi_embed,0.163908924311095,0.178401847032115
/immune_cell_hum/percentShuffling_10/metrics/unscaled/hvg/R/scanvi_embed,0.318894474785651,0.337879940171647
/immune_cell_hum/percentShuffling_20/metrics/unscaled/hvg/R/scanvi_embed,0.319434087974619,0.336587639279015
/immune_cell_hum/percentShuffling_50/metrics/unscaled/hvg/R/scanvi_embed,0.332527762316967,0.341335612879064
